Open,High,Low,Close,Adj Close,Volume
15.0,15.0,14.75,14.75,14.75,8000
17.0,17.0,14.0,14.0,14.0,0
14.5,14.5,14.0,14.0,14.0,9000
17.0,17.0,14.0,14.0,14.0,0
14.25,14.25,14.0,14.0,14.0,15000
14.25,14.25,14.0,14.0,14.0,8000
13.75,13.75,13.75,13.75,13.75,2300
17.0,17.0,13.75,13.75,13.75,0
17.0,17.0,14.0,14.0,14.0,0
17.0,17.0,13.5,13.5,13.5,0
14.5,14.5,14.5,14.5,14.5,1000
15.0,15.0,13.5,13.5,13.5,0
16.25,16.25,13.5,13.5,13.5,0
16.5,16.5,13.75,13.75,13.75,0
16.0,16.5,15.0,15.0,15.0,809500
15.5,15.5,15.5,15.5,15.5,2000
16.0,16.0,16.0,16.0,16.0,2000
17.0,17.0,15.5,15.5,15.5,0
16.0,17.0,16.0,17.0,17.0,37500
16.25,16.25,15.5,15.5,15.5,2400
16.75,16.75,15.5,15.5,15.5,0
16.0,16.0,16.0,16.0,16.0,2000
16.0,16.0,16.0,16.0,16.0,32000
17.0,17.0,15.5,15.5,15.5,0
16.0,16.0,16.0,16.0,16.0,3000
15.5,16.0,15.5,16.0,16.0,3000
16.0,16.0,16.0,16.0,16.0,33000
16.5,17.0,16.5,17.0,17.0,7000
16.25,16.25,16.25,16.25,16.25,1000
16.5,16.5,16.25,16.5,16.5,14000
16.25,16.5,16.25,16.5,16.5,20600
17.5,18.0,17.0,18.0,18.0,55800
18.25,18.25,18.0,18.0,18.0,2600
18.5,19.0,18.25,19.0,19.0,377500
18.5,19.0,18.5,18.75,18.75,15500
18.5,18.5,18.5,18.5,18.5,5800
18.25,18.5,18.25,18.25,18.25,5000
18.25,18.25,18.25,18.25,18.25,8000
18.25,18.25,18.25,18.25,18.25,10000
18.25,18.25,18.25,18.25,18.25,2000
18.25,18.5,18.25,18.5,18.5,10500
18.25,18.25,18.25,18.25,18.25,2000
18.5,18.5,18.5,18.5,18.5,1000
18.75,18.75,18.25,18.25,18.25,0
