Open,High,Low,Close,Adj Close,Volume
8.515769958496094,9.027259826660156,8.515769958496094,9.027259826660156,9.027259826660156,46003
9.04109001159668,9.165510177612305,8.363699913024902,8.985790252685547,8.985790252685547,23386
9.331399917602539,9.331399917602539,8.806079864501953,9.24845027923584,9.24845027923584,14431
9.23462963104248,9.276100158691406,8.971969604492188,9.276100158691406,9.276100158691406,12529
9.317569732666016,9.317569732666016,8.723130226135254,9.068739891052246,9.068739891052246,13805
8.806079864501953,9.082559585571289,8.806079864501953,9.013440132141113,9.013440132141113,10749
8.930489540100098,8.930489540100098,8.598710060119629,8.598710060119629,8.598710060119629,22706
9.027259826660156,9.027259826660156,8.695480346679688,8.889019966125488,8.889019966125488,10131
8.515769958496094,9.594059944152832,8.515769958496094,9.594059944152832,9.594059944152832,120867
10.46500015258789,10.506500244140625,9.580240249633789,9.77377986907959,9.77377986907959,67403
9.925840377807617,10.036399841308594,9.206979751586914,9.635530471801758,9.635530471801758,48784
9.594059944152832,9.621709823608398,8.944319725036621,9.276100158691406,9.276100158691406,43590
9.013440132141113,9.04109001159668,8.723130226135254,8.723130226135254,8.723130226135254,85510
8.515769958496094,8.598710060119629,8.391349792480469,8.391349792480469,8.391349792480469,25849
8.515769958496094,8.889019966125488,8.515769958496094,8.584890365600586,8.584890365600586,16606
8.584890365600586,8.695480346679688,8.432820320129395,8.515769958496094,8.515769958496094,23328
8.391349792480469,8.474289894104004,8.322230339050293,8.432820320129395,8.432820320129395,19914
8.432820320129395,8.681659698486328,8.432820320129395,8.626359939575195,8.626359939575195,30389
8.197810173034668,9.04109001159668,8.197810173034668,8.736949920654297,8.736949920654297,19725
8.889019966125488,8.889019966125488,8.460470199584961,8.515769958496094,8.515769958496094,16478
8.723130226135254,8.847550392150879,8.322230339050293,8.847550392150879,8.847550392150879,71425
9.124030113220215,9.165510177612305,8.930489540100098,9.110210418701172,9.110210418701172,41895
8.930489540100098,9.082559585571289,8.847550392150879,9.027259826660156,9.027259826660156,20623
8.902850151062012,9.5387601852417,8.889019966125488,9.124030113220215,9.124030113220215,56922
9.317569732666016,9.386699676513672,9.04109001159668,9.124030113220215,9.124030113220215,30249
8.75078010559082,9.013440132141113,8.75078010559082,8.930489540100098,8.930489540100098,22178
8.930489540100098,9.345219612121582,8.930489540100098,9.345219612121582,9.345219612121582,65103
10.077899932861328,10.091699600219727,9.649359703063965,10.091699600219727,10.091699600219727,113691
10.036399841308594,10.368200302124023,9.331399917602539,9.455820083618164,9.455820083618164,81243
9.331399917602539,9.77377986907959,9.331399917602539,9.621709823608398,9.621709823608398,29253
9.345219612121582,9.345219612121582,8.847550392150879,9.110210418701172,9.110210418701172,47185
9.24845027923584,9.497289657592773,8.806079864501953,9.027259826660156,9.027259826660156,40270
8.930489540100098,8.930489540100098,8.432820320129395,8.460470199584961,8.460470199584961,42722
9.124030113220215,9.137860298156738,9.013440132141113,9.137860298156738,9.137860298156738,17122
9.815250396728516,9.856719970703125,9.5387601852417,9.7322998046875,9.7322998046875,56958
9.7322998046875,9.7322998046875,9.331399917602539,9.677009582519531,9.677009582519531,18602
10.147000312805176,10.451199531555176,10.147000312805176,10.423500061035156,10.423500061035156,79939
10.75529956817627,11.253000259399414,10.46500015258789,10.838299751281738,10.838299751281738,110986
10.990300178527832,11.294400215148926,10.589400291442871,10.67240047454834,10.67240047454834,51757
10.75529956817627,10.75529956817627,9.842900276184082,9.842900276184082,9.842900276184082,42129
10.492600440979004,10.589400291442871,9.953490257263184,10.147000312805176,10.147000312805176,33832
10.534099578857422,10.9350004196167,10.46500015258789,10.547900199890137,10.547900199890137,51836
10.810600280761719,11.391200065612793,10.810600280761719,11.391200065612793,11.391200065612793,81002
12.303600311279297,12.303600311279297,11.64009952545166,12.165399551391602,12.165399551391602,146351
12.580100059509277,12.815099716186523,11.64009952545166,11.76449966430664,11.76449966430664,89675
12.165399551391602,12.35890007019043,11.805999755859375,11.902700424194336,11.902700424194336,43257
12.289799690246582,12.414199829101562,11.76449966430664,11.888899803161621,11.888899803161621,41926
11.76449966430664,11.971799850463867,11.21150016784668,11.847399711608887,11.847399711608887,31380
11.930399894714355,11.930399894714355,11.598600387573242,11.598600387573242,11.598600387573242,30200
11.681500434875488,11.971799850463867,11.501799583435059,11.805999755859375,11.805999755859375,39253
11.971799850463867,12.746000289916992,11.971799850463867,12.746000289916992,12.746000289916992,115919
13.769000053405762,13.769000053405762,13.312800407409668,13.769000053405762,13.769000053405762,136774
13.796600341796875,14.59850025177002,13.423399925231934,14.294300079345703,14.294300079345703,114617
13.160699844360352,13.727499961853027,13.160699844360352,13.160699844360352,13.160699844360352,89733
13.3818998336792,13.962499618530273,13.11929988861084,13.492500305175781,13.492500305175781,65819
12.801300048828125,13.65839958190918,12.414199829101562,12.580100059509277,12.580100059509277,36686
12.898099899291992,12.898099899291992,12.054800033569336,12.75979995727539,12.75979995727539,37919
12.054800033569336,12.538599967956543,11.736800193786621,12.123900413513184,12.123900413513184,39705
11.2391996383667,11.446499824523926,11.156200408935547,11.156200408935547,11.156200408935547,32110
11.156200408935547,11.156200408935547,10.409700393676758,10.547900199890137,10.547900199890137,31994
9.925840377807617,10.948800086975098,9.925840377807617,10.907400131225586,10.907400131225586,31278
11.667699813842773,11.792099952697754,11.404999732971191,11.792099952697754,11.792099952697754,40443
12.552499771118164,12.663000106811523,12.123900413513184,12.331299781799316,12.331299781799316,35054
12.980999946594238,13.312800407409668,12.593899726867676,13.312800407409668,13.312800407409668,38266
