Date,Open,High,Low,Close
09/04/2023,418.47,418.47,418.47,418.47
09/01/2023,414.64,414.64,414.64,414.64
08/31/2023,414.64,414.64,414.64,414.64
08/29/2023,419.82,419.82,419.82,419.82
08/28/2023,415.23,415.23,415.23,415.23
08/25/2023,411.62,411.62,411.62,411.62
08/24/2023,413.07,413.07,413.07,413.07
08/23/2023,412.95,412.95,412.95,412.95
08/22/2023,410.15,410.15,410.15,410.15
08/21/2023,420.38,420.38,420.38,420.38
08/18/2023,420.24,420.24,420.24,420.24
08/17/2023,420.8,420.8,420.8,420.8
08/16/2023,422.24,422.24,422.24,422.24
08/15/2023,426.61,426.61,426.61,426.61
08/14/2023,438.94,438.94,438.94,438.94
08/11/2023,442.87,442.87,442.87,442.87
08/10/2023,440.5,440.5,440.5,440.5
08/08/2023,447.6,447.6,447.6,447.6
08/07/2023,452.61,452.61,452.61,452.61
08/04/2023,448.83,448.83,448.83,448.83
08/02/2023,447.42,447.42,447.42,447.42
08/01/2023,452.43,452.43,452.43,452.43
07/28/2023,455.07,455.07,455.07,455.07
07/27/2023,451.69,451.69,451.69,451.69
07/25/2023,450.16,450.16,450.16,450.16
07/21/2023,448.61,448.61,448.61,448.61
07/20/2023,452.67,452.67,452.67,452.67
07/19/2023,449.62,449.62,449.62,449.62
07/18/2023,441.84,441.84,441.84,441.84
07/17/2023,432.84,432.84,432.84,432.84
07/14/2023,425.28,425.28,425.28,425.28
07/12/2023,425.32,425.32,425.32,425.32
07/11/2023,421.1,421.1,421.1,421.1
07/10/2023,414.97,414.97,414.97,414.97
07/07/2023,413.88,413.88,413.88,413.88
07/06/2023,409.6,409.6,409.6,409.6
07/05/2023,415.94,415.94,415.94,415.94
06/30/2023,413.09,413.09,413.09,413.09
06/29/2023,411.06,411.06,411.06,411.06
06/27/2023,402.57,402.57,402.57,402.57
06/26/2023,400.24,400.24,400.24,400.24
06/23/2023,397.75,397.75,397.75,397.75
06/22/2023,401.28,401.28,401.28,401.28
06/21/2023,410.33,410.33,410.33,410.33
06/20/2023,412.48,412.48,412.48,412.48
06/19/2023,415.83,415.83,415.83,415.83
06/16/2023,415.83,415.83,415.83,415.83
06/14/2023,412.32,412.32,412.32,412.32
06/13/2023,417.83,417.83,417.83,417.83
06/09/2023,414.89,414.89,414.89,414.89
06/07/2023,416.96,416.96,416.96,416.96
