Date,Open,High,Low,Close
09/01/2023,"12,274.48","12,358.51","12,274.48","12,323.85"
08/31/2023,"12,273.56","12,296.74","12,213.84","12,227.85"
08/30/2023,"12,198.44","12,304.82","12,195.82","12,260.57"
08/29/2023,"12,111.32","12,200.19","12,058.46","12,195.24"
08/28/2023,"12,113.84","12,176.26","12,062.70","12,103.43"
08/25/2023,"12,084.74","12,162.23","12,025.37","12,108.50"
08/24/2023,"12,026.14","12,154.24","12,026.14","12,062.49"
08/23/2023,"11,934.76","12,030.88","11,931.75","12,030.46"
08/22/2023,"11,994.31","12,021.56","11,899.65","11,920.59"
08/21/2023,"12,032.68","12,063.44","11,911.35","11,986.49"
08/18/2023,"11,986.19","12,078.10","11,974.94","12,017.13"
08/17/2023,"12,027.93","12,176.46","12,010.06","12,027.93"
08/16/2023,"12,112.84","12,203.14","12,075.47","12,112.84"
08/15/2023,"12,035.02","12,126.57","12,019.44","12,035.02"
08/14/2023,"12,177.74","12,200.51","12,139.32","12,177.74"
08/11/2023,"12,193.48","12,209.28","12,076.98","12,193.48"
08/10/2023,"12,137.07","12,296.72","12,107.95","12,137.07"
08/09/2023,"12,233.57","12,280.09","12,139.93","12,157.04"
08/08/2023,"12,264.48","12,264.48","12,196.42","12,245.59"
08/07/2023,"12,103.22","12,367.51","12,102.36","12,319.14"
08/04/2023,"12,162.98","12,228.93","12,049.04","12,063.14"
08/03/2023,"12,090.69","12,194.63","12,059.05","12,169.43"
08/02/2023,"12,075.84","12,169.11","12,041.74","12,105.88"
08/01/2023,"12,067.02","12,108.71","12,025.20","12,085.00"
07/31/2023,"12,048.66","12,112.55","12,022.36","12,067.52"
07/28/2023,"12,159.13","12,178.88","12,000.52","12,042.81"
07/27/2023,"12,178.73","12,213.87","12,102.32","12,102.37"
07/26/2023,"12,090.74","12,198.42","12,089.43","12,162.30"
07/25/2023,"12,091.05","12,096.09","12,024.99","12,047.41"
07/24/2023,"12,029.61","12,171.10","12,028.54","12,112.56"
07/21/2023,"12,064.72","12,072.53","11,990.87","12,029.75"
07/20/2023,"11,868.21","12,032.27","11,858.70","12,029.74"
07/19/2023,"11,848.31","11,881.72","11,801.47","11,818.90"
07/18/2023,"11,814.76","11,919.27","11,810.83","11,860.55"
07/17/2023,"11,675.50","11,874.33","11,675.50","11,830.98"
07/14/2023,"11,772.96","11,774.62","11,658.35","11,672.08"
07/13/2023,"11,782.18","11,808.89","11,744.31","11,749.38"
07/12/2023,"11,903.04","11,948.62","11,828.13","11,853.21"
07/11/2023,"11,760.82","11,872.15","11,756.08","11,858.56"
07/10/2023,"11,734.28","11,848.04","11,706.22","11,735.40"
07/07/2023,"11,698.44","11,847.57","11,698.44","11,752.70"
07/06/2023,"11,704.77","11,748.81","11,661.32","11,737.01"
07/05/2023,"11,729.39","11,755.25","11,649.69","11,743.72"
07/03/2023,"11,751.69","11,795.89","11,682.08","11,782.13"
06/30/2023,"11,696.56","11,836.35","11,691.40","11,784.47"
06/29/2023,"11,534.46","11,666.43","11,524.44","11,663.20"
06/28/2023,"11,565.85","11,573.37","11,479.48","11,521.58"
06/27/2023,"11,545.99","11,624.46","11,545.99","11,587.08"
06/26/2023,"11,540.17","11,583.37","11,457.82","11,522.67"
06/23/2023,"11,535.42","11,608.36","11,509.91","11,538.67"
06/22/2023,"11,625.26","11,627.85","11,551.97","11,600.88"
06/21/2023,"11,580.82","11,664.21","11,518.18","11,613.59"
06/20/2023,"11,622.37","11,642.84","11,542.85","11,598.15"
06/16/2023,"11,679.19","11,714.01","11,651.15","11,658.64"
06/15/2023,"11,480.50","11,678.12","11,479.53","11,636.35"
06/14/2023,"11,566.18","11,629.79","11,450.27","11,492.02"
06/13/2023,"11,487.45","11,611.45","11,485.71","11,575.01"
06/12/2023,"11,510.24","11,520.35","11,440.63","11,491.17"
06/09/2023,"11,498.77","11,576.23","11,472.40","11,521.97"
06/08/2023,"11,513.66","11,540.69","11,469.20","11,513.10"
06/07/2023,"11,445.27","11,549.80","11,390.94","11,527.38"
06/06/2023,"11,349.81","11,462.92","11,341.53","11,445.88"
06/05/2023,"11,375.78","11,395.88","11,306.28","11,328.55"
06/02/2023,"11,205.52","11,399.14","11,198.99","11,369.17"
06/01/2023,"11,067.53","11,133.82","10,997.62","11,132.92"
05/31/2023,"11,134.89","11,163.02","11,025.37","11,044.67"
05/30/2023,"11,157.76","11,189.37","11,082.69","11,181.97"
05/26/2023,"11,129.92","11,220.48","11,117.70","11,134.53"
05/25/2023,"11,163.94","11,179.43","11,076.99","11,129.70"
05/24/2023,"11,295.81","11,295.81","11,176.69","11,179.14"
05/23/2023,"11,492.41","11,515.35","11,326.24","11,326.74"
05/22/2023,"11,544.96","11,577.87","11,437.09","11,507.49"
05/19/2023,"11,587.04","11,663.19","11,513.80","11,552.48"
05/18/2023,"11,448.61","11,554.71","11,393.13","11,546.13"
05/17/2023,"11,408.54","11,528.45","11,408.54","11,456.95"
05/16/2023,"11,396.45","11,424.69","11,350.83","11,358.64"
05/15/2023,"11,436.24","11,453.14","11,358.25","11,425.67"
05/12/2023,"11,491.25","11,502.77","11,342.88","11,413.90"
05/11/2023,"11,384.28","11,442.20","11,347.51","11,438.22"
05/10/2023,"11,545.89","11,546.07","11,371.61","11,448.90"
05/09/2023,"11,477.76","11,557.70","11,451.51","11,503.08"
05/08/2023,"11,516.24","11,566.34","11,484.58","11,518.19"
05/05/2023,"11,354.35","11,462.29","11,351.78","11,430.17"
05/04/2023,"11,304.45","11,315.20","11,130.33","11,228.09"
05/03/2023,"11,467.81","11,512.85","11,345.54","11,349.21"
05/02/2023,"11,595.06","11,595.22","11,330.46","11,449.16"
05/01/2023,"11,567.26","11,699.32","11,563.71","11,638.78"
04/28/2023,"11,462.81","11,600.40","11,451.44","11,590.25"
04/27/2023,"11,344.85","11,511.44","11,344.30","11,504.04"
04/26/2023,"11,379.61","11,437.04","11,271.47","11,316.30"
04/25/2023,"11,456.78","11,513.32","11,415.97","11,423.04"
04/24/2023,"11,493.16","11,551.30","11,471.48","11,500.77"
04/21/2023,"11,493.63","11,497.74","11,404.53","11,489.88"
04/20/2023,"11,507.19","11,561.61","11,492.66","11,540.19"
04/19/2023,"11,507.40","11,548.88","11,500.21","11,518.49"
04/18/2023,"11,459.86","11,521.77","11,425.58","11,500.16"
04/17/2023,"11,292.42","11,445.45","11,271.32","11,444.32"
04/14/2023,"11,357.01","11,394.91","11,232.44","11,297.02"
04/13/2023,"11,290.01","11,354.63","11,185.67","11,330.91"
04/12/2023,"11,299.76","11,386.50","11,279.09","11,308.16"
04/11/2023,"11,235.65","11,340.09","11,206.77","11,283.17"
04/10/2023,"11,195.16","11,241.27","11,158.68","11,230.22"
04/06/2023,"11,159.15","11,232.11","11,143.85","11,213.21"
04/05/2023,"11,039.94","11,165.39","11,025.06","11,147.51"
04/04/2023,"11,175.55","11,180.81","10,977.37","11,076.15"
04/03/2023,"11,083.94","11,185.46","11,083.94","11,142.80"
03/31/2023,"11,016.67","11,076.72","10,992.49","11,075.33"
03/30/2023,"10,996.09","11,025.31","10,886.51","10,970.74"
03/29/2023,"10,896.26","10,963.15","10,888.28","10,963.15"
03/28/2023,"10,774.41","10,826.46","10,747.96","10,814.03"
03/27/2023,"10,789.01","10,840.76","10,710.45","10,789.27"
03/24/2023,"10,549.14","10,682.55","10,458.24","10,679.62"
03/23/2023,"10,686.76","10,753.84","10,549.32","10,618.59"
03/22/2023,"10,933.91","10,957.03","10,694.50","10,696.25"
03/21/2023,"10,934.06","10,982.36","10,887.85","10,928.46"
03/20/2023,"10,561.80","10,794.03","10,561.80","10,755.98"
03/17/2023,"10,812.01","10,812.01","10,477.33","10,491.15"
03/16/2023,"10,545.57","10,907.54","10,506.60","10,848.10"
03/15/2023,"10,671.50","10,697.90","10,447.94","10,576.09"
03/14/2023,"10,921.11","10,999.43","10,806.46","10,920.81"
03/13/2023,"10,833.63","10,952.54","10,751.24","10,784.82"
03/10/2023,"11,085.44","11,163.59","10,971.44","11,000.24"
03/09/2023,"11,391.81","11,410.33","11,093.62","11,136.07"
03/08/2023,"11,475.21","11,503.20","11,322.48","11,395.32"
03/07/2023,"11,637.91","11,639.38","11,421.23","11,458.94"
03/06/2023,"11,592.67","11,667.14","11,591.03","11,639.95"
03/03/2023,"11,483.63","11,592.26","11,446.34","11,588.78"
03/02/2023,"11,423.37","11,481.69","11,327.40","11,468.06"
03/01/2023,"11,447.47","11,529.96","11,427.38","11,472.97"
02/28/2023,"11,475.17","11,555.79","11,454.78","11,499.46"
02/27/2023,"11,494.55","11,549.46","11,427.33","11,461.92"
02/24/2023,"11,348.25","11,493.71","11,337.29","11,459.80"
