Date,Open,High,Low,Close
09/04/2015,"1,831.86","1,831.86","1,811.94","1,820.78"
09/03/2015,"1,823.82","1,845.72","1,823.82","1,833.89"
09/02/2015,"1,816.14","1,820.66","1,799.78","1,820.36"
09/01/2015,"1,827.13","1,831.70","1,795.68","1,801.46"
08/31/2015,"1,837.03","1,840.68","1,827.23","1,835.76"
08/28/2015,"1,834.65","1,845.78","1,829.51","1,839.43"
08/27/2015,"1,811.11","1,839.38","1,810.68","1,835.14"
08/26/2015,"1,790.20","1,819.28","1,780.22","1,809.19"
08/25/2015,"1,804.28","1,832.78","1,779.59","1,779.59"
08/24/2015,"1,871.37","1,871.37","1,790.45","1,796.98"
08/21/2015,"1,901.99","1,902.01","1,873.24","1,873.31"
08/20/2015,"1,912.67","1,926.57","1,907.14","1,907.94"
08/19/2015,"1,927.70","1,933.20","1,916.48","1,922.28"
08/18/2015,"1,930.41","1,943.10","1,929.72","1,936.69"
08/17/2015,"1,914.74","1,933.06","1,896.45","1,932.82"
08/14/2015,"1,902.74","1,916.81","1,901.74","1,915.64"
08/13/2015,"1,900.86","1,911.03","1,893.36","1,902.23"
08/12/2015,"1,893.72","1,907.02","1,884.21","1,903.07"
08/11/2015,"1,887.95","1,899.11","1,879.58","1,898.50"
08/10/2015,"1,875.84","1,895.53","1,875.84","1,895.47"
08/07/2015,"1,870.35","1,876.99","1,864.84","1,872.37"
08/06/2015,"1,886.20","1,888.46","1,867.59","1,872.21"
08/05/2015,"1,869.82","1,892.34","1,869.82","1,886.39"
08/04/2015,"1,860.23","1,878.47","1,858.67","1,867.61"
08/03/2015,"1,869.61","1,869.75","1,852.95","1,860.29"
07/31/2015,"1,874.80","1,877.55","1,866.57","1,869.28"
07/30/2015,"1,859.41","1,874.08","1,856.05","1,869.65"
07/29/2015,"1,829.45","1,866.20","1,826.97","1,864.18"
07/28/2015,"1,790.43","1,828.36","1,790.43","1,825.09"
07/27/2015,"1,786.55","1,794.68","1,778.96","1,785.89"
07/24/2015,"1,792.38","1,808.50","1,786.09","1,789.96"
07/23/2015,"1,778.28","1,795.19","1,778.28","1,791.52"
07/22/2015,"1,791.52","1,797.09","1,775.50","1,780.55"
07/21/2015,"1,807.16","1,809.35","1,786.18","1,788.81"
07/20/2015,"1,818.48","1,819.09","1,806.06","1,807.39"
07/17/2015,"1,823.23","1,828.08","1,814.40","1,816.77"
07/16/2015,"1,805.88","1,833.52","1,805.88","1,825.07"
07/15/2015,"1,807.76","1,808.94","1,799.03","1,799.62"
07/14/2015,"1,792.73","1,807.66","1,791.78","1,806.12"
07/13/2015,"1,795.60","1,798.62","1,790.75","1,793.35"
07/10/2015,"1,782.83","1,789.36","1,777.56","1,785.08"
07/09/2015,"1,779.13","1,782.96","1,769.43","1,770.04"
07/08/2015,"1,775.23","1,780.71","1,768.15","1,768.70"
07/07/2015,"1,777.29","1,785.91","1,766.09","1,783.84"
07/06/2015,"1,762.29","1,778.01","1,753.88","1,777.23"
07/02/2015,"1,774.91","1,777.42","1,765.18","1,769.07"
07/01/2015,"1,774.98","1,778.00","1,765.78","1,773.76"
06/30/2015,"1,766.14","1,774.82","1,758.77","1,764.89"
06/29/2015,"1,788.69","1,788.69","1,760.35","1,761.21"
06/26/2015,"1,788.34","1,798.69","1,783.77","1,795.72"
06/25/2015,"1,794.32","1,796.31","1,784.75","1,785.90"
06/24/2015,"1,810.42","1,811.83","1,794.69","1,794.88"
06/23/2015,"1,819.79","1,821.89","1,810.39","1,811.76"
06/22/2015,"1,817.76","1,827.28","1,815.76","1,818.69"
06/19/2015,"1,828.07","1,829.05","1,816.70","1,817.36"
06/18/2015,"1,816.49","1,832.10","1,816.49","1,827.51"
06/17/2015,"1,811.37","1,815.58","1,801.29","1,811.71"
06/16/2015,"1,803.52","1,811.30","1,801.07","1,809.94"
06/15/2015,"1,819.96","1,819.96","1,798.21","1,803.08"
06/12/2015,"1,829.24","1,830.93","1,818.68","1,821.88"
06/11/2015,"1,828.99","1,837.96","1,827.74","1,832.36"
06/10/2015,"1,817.35","1,835.76","1,817.35","1,827.26"
06/09/2015,"1,818.42","1,822.29","1,812.55","1,815.89"
06/08/2015,"1,818.99","1,822.72","1,815.33","1,818.88"
06/05/2015,"1,820.77","1,824.78","1,809.15","1,819.48"
06/04/2015,"1,831.48","1,835.84","1,819.61","1,823.10"
06/03/2015,"1,840.35","1,842.32","1,832.66","1,838.12"
06/02/2015,"1,836.13","1,844.72","1,829.99","1,836.87"
06/01/2015,"1,842.78","1,846.74","1,830.27","1,840.89"
05/29/2015,"1,840.84","1,845.10","1,832.29","1,838.96"
05/28/2015,"1,842.39","1,844.91","1,839.29","1,842.69"
05/27/2015,"1,832.50","1,845.33","1,828.49","1,844.29"
05/26/2015,"1,848.66","1,848.66","1,824.63","1,830.60"
05/22/2015,"1,853.14","1,859.48","1,851.95","1,851.95"
05/21/2015,"1,846.11","1,859.59","1,845.58","1,854.34"
05/20/2015,"1,852.77","1,853.54","1,845.01","1,846.15"
05/19/2015,"1,850.90","1,855.19","1,842.11","1,852.40"
05/18/2015,"1,841.09","1,852.10","1,840.15","1,851.18"
05/15/2015,"1,839.78","1,847.04","1,837.15","1,840.78"
05/14/2015,"1,827.09","1,839.68","1,827.09","1,839.08"
05/13/2015,"1,822.62","1,831.73","1,818.25","1,819.39"
05/12/2015,"1,809.95","1,824.11","1,803.02","1,821.43"
05/11/2015,"1,813.67","1,828.57","1,810.21","1,817.12"
05/08/2015,"1,809.79","1,822.97","1,809.79","1,815.37"
05/07/2015,"1,792.48","1,800.82","1,787.94","1,799.28"
05/06/2015,"1,801.88","1,802.18","1,781.73","1,792.80"
05/05/2015,"1,827.94","1,831.48","1,798.30","1,799.53"
05/04/2015,"1,826.62","1,841.44","1,826.49","1,828.35"
