Date,Open,High,Low,Close
09/02/2016,928.47,928.47,928.47,928.47
09/01/2016,923.7,923.7,923.7,923.7
08/31/2016,921.23,921.23,921.23,921.23
08/30/2016,924.13,924.13,924.13,924.13
08/29/2016,932.02,932.02,932.02,932.02
08/26/2016,927.14,927.14,927.14,927.14
08/25/2016,932.69,932.69,932.69,932.69
08/24/2016,932.71,932.71,932.71,932.71
08/23/2016,935.54,935.54,935.54,935.54
08/22/2016,942.07,942.07,942.07,942.07
08/19/2016,941.69,941.69,941.69,941.69
08/18/2016,943.45,943.45,943.45,943.45
08/17/2016,941.04,941.04,941.04,941.04
08/16/2016,940.09,940.09,940.09,940.09
08/15/2016,950.19,950.19,950.19,950.19
08/12/2016,941.07,941.07,941.07,941.07
08/11/2016,941.11,941.11,941.11,941.11
08/10/2016,935.76,935.76,935.76,935.76
08/09/2016,936.66,936.66,936.66,936.66
08/08/2016,932.91,932.91,932.91,932.91
08/05/2016,935.23,935.23,935.23,935.23
08/04/2016,927.99,927.99,927.99,927.99
08/03/2016,929.32,929.32,929.32,929.32
08/02/2016,927.34,927.34,927.34,927.34
08/01/2016,930.25,930.25,930.25,930.25
07/29/2016,928.98,928.98,928.98,928.98
07/28/2016,927.84,927.84,927.84,927.84
07/27/2016,930.4,930.4,930.4,930.4
07/26/2016,928.44,928.44,928.44,928.44
07/25/2016,918.96,918.96,918.96,918.96
07/22/2016,923.01,923.01,923.01,923.01
07/21/2016,920.5,920.5,920.5,920.5
07/20/2016,929.5,929.5,929.5,929.5
07/19/2016,927.56,927.56,927.56,927.56
07/18/2016,922.08,922.08,922.08,922.08
07/15/2016,922.83,922.83,922.83,922.83
07/14/2016,920.49,920.49,920.49,920.49
07/13/2016,918.01,918.01,918.01,918.01
07/12/2016,916.66,916.66,916.66,916.66
07/11/2016,916.8,916.8,916.8,916.8
07/08/2016,910.39,910.39,910.39,910.39
07/07/2016,896.04,896.04,896.04,896.04
07/06/2016,897.51,897.51,897.51,897.51
07/05/2016,893.08,893.08,893.08,893.08
07/04/2016,902.92,902.92,902.92,902.92
07/01/2016,902.92,902.92,902.92,902.92
06/30/2016,902.31,902.31,902.31,902.31
06/29/2016,884.27,884.27,884.27,884.27
06/28/2016,870.48,870.48,870.48,870.48
06/27/2016,862.83,862.83,862.83,862.83
06/24/2016,877.95,877.95,877.95,877.95
06/23/2016,902.69,902.69,902.69,902.69
06/22/2016,895.36,895.36,895.36,895.36
06/21/2016,896.19,896.19,896.19,896.19
