Date,Open,High,Low,Close
09/04/2023,93.74,93.74,93.74,93.74
09/01/2023,94.04,94.04,94.04,94.04
08/31/2023,94.04,94.04,94.04,94.04
08/29/2023,94.44,94.44,94.44,94.44
08/28/2023,93.23,93.23,93.23,93.23
08/25/2023,91.62,91.62,91.62,91.62
08/24/2023,93.14,93.14,93.14,93.14
08/23/2023,93.38,93.38,93.38,93.38
08/22/2023,91.85,91.85,91.85,91.85
08/21/2023,91.08,91.08,91.08,91.08
08/18/2023,90.87,90.87,90.87,90.87
08/17/2023,91.73,91.73,91.73,91.73
08/16/2023,91.2,91.2,91.2,91.2
08/15/2023,91.79,91.79,91.79,91.79
08/14/2023,94.25,94.25,94.25,94.25
08/11/2023,95.79,95.79,95.79,95.79
08/10/2023,95.03,95.03,95.03,95.03
08/08/2023,94.89,94.89,94.89,94.89
08/07/2023,96.29,96.29,96.29,96.29
08/04/2023,97.05,97.05,97.05,97.05
08/02/2023,96.61,96.61,96.61,96.61
08/01/2023,99.05,99.05,99.05,99.05
07/28/2023,100.87,100.87,100.87,100.87
07/27/2023,100.26,100.26,100.26,100.26
07/25/2023,103.85,103.85,103.85,103.85
07/21/2023,102.93,102.93,102.93,102.93
07/20/2023,101.24,101.24,101.24,101.24
07/19/2023,106.74,106.74,106.74,106.74
07/18/2023,106.33,106.33,106.33,106.33
07/17/2023,105.43,105.43,105.43,105.43
07/14/2023,106.22,106.22,106.22,106.22
07/12/2023,106.83,106.83,106.83,106.83
07/11/2023,102.34,102.34,102.34,102.34
07/10/2023,101.1,101.1,101.1,101.1
07/07/2023,100.13,100.13,100.13,100.13
07/06/2023,98.29,98.29,98.29,98.29
07/05/2023,99.69,99.69,99.69,99.69
06/30/2023,100.72,100.72,100.72,100.72
06/29/2023,99.07,99.07,99.07,99.07
06/27/2023,99.98,99.98,99.98,99.98
06/26/2023,100.81,100.81,100.81,100.81
06/23/2023,98.52,98.52,98.52,98.52
06/22/2023,99.61,99.61,99.61,99.61
06/21/2023,100.33,100.33,100.33,100.33
06/20/2023,101.33,101.33,101.33,101.33
06/19/2023,103.44,103.44,103.44,103.44
06/16/2023,103.44,103.44,103.44,103.44
06/14/2023,100.12,100.12,100.12,100.12
06/13/2023,100.99,100.99,100.99,100.99
06/09/2023,99.11,99.11,99.11,99.11
06/07/2023,100.18,100.18,100.18,100.18
06/06/2023,100.68,100.68,100.68,100.68
06/05/2023,100.46,100.46,100.46,100.46
06/02/2023,101.01,101.01,101.01,101.01
05/31/2023,98.1,98.1,98.1,98.1
05/30/2023,97.36,97.36,97.36,97.36
05/25/2023,98.27,98.27,98.27,98.27
05/24/2023,100.72,100.72,100.72,100.72
05/23/2023,102.35,102.35,102.35,102.35
05/22/2023,104.28,104.28,104.28,104.28
05/19/2023,105.01,105.01,105.01,105.01
05/16/2023,108.58,108.58,108.58,108.58
05/15/2023,112.88,112.88,112.88,112.88
05/11/2023,110.28,110.28,110.28,110.28
05/10/2023,114.75,114.75,114.75,114.75
05/09/2023,115.5,115.5,115.5,115.5
05/08/2023,115.81,115.81,115.81,115.81
05/05/2023,116.71,116.71,116.71,116.71
05/04/2023,118.32,118.32,118.32,118.32
05/03/2023,113.68,113.68,113.68,113.68
05/02/2023,114.71,114.71,114.71,114.71
05/01/2023,111.91,111.91,111.91,111.91
04/28/2023,112.7,112.7,112.7,112.7
04/26/2023,112.3,112.3,112.3,112.3
04/24/2023,113.85,113.85,113.85,113.85
04/21/2023,112.74,112.74,112.74,112.74
04/20/2023,113.37,113.37,113.37,113.37
04/19/2023,115.21,115.21,115.21,115.21
04/18/2023,116.64,116.64,116.64,116.64
04/17/2023,115.8,115.8,115.8,115.8
04/14/2023,118.22,118.22,118.22,118.22
04/13/2023,121.52,121.52,121.52,121.52
04/12/2023,118.41,118.41,118.41,118.41
04/11/2023,118.52,118.52,118.52,118.52
04/10/2023,120.52,120.52,120.52,120.52
04/05/2023,122.35,122.35,122.35,122.35
