Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NTRS,25,1.250431651884707,0.00102716375921882,0.04423686841717244,0.023219630954258105,2.385036341864943e-05,0.02385036341864943
WFC,25,1.7113376925576294,-0.0060224760966831985,-0.2561548119991736,0.023511079294901663,-0.00014159491306076853,-0.14159491306076852
TYL,25,0.8173905077961897,0.011005469429697724,0.3697484751447822,0.029764745954363486,0.00032757500168346633,0.3275750016834663
MSI,25,0.4619492139268243,0.016065528466209473,0.7627176125293097,0.021063534134125043,0.0003383968072307608,0.33839680723076077
AVGO,25,0.34656116411587096,0.0016991340570721132,0.029889621870319606,0.056846957263094494,9.659060112664679e-05,0.09659060112664679
VMC,25,0.719592378926515,-0.004416303226254697,-0.10014270293719507,0.04410010012436354,-0.00019475941445738185,-0.19475941445738185
DUK,25,0.10414837206222842,-0.0006178340160270521,-0.023131743543457973,0.026709357851314477,-1.65019498267813e-05,-0.0165019498267813
PLD,25,0.3776559222234042,0.0026145270561275425,0.09158664637730157,0.02854703343276379,7.463699128213844e-05,0.07463699128213844
STX,25,1.5872722401218393,0.010366703566359249,0.20991876959430117,0.04938435751312008,0.0005119529951536221,0.5119529951536221
FITB,25,0.904341504565729,-0.0016429971253575852,-0.06419060696618745,0.025595600400274105,-4.205349787945181e-05,-0.04205349787945181
SBUX,25,0.7581056605206734,0.0009014903543901878,0.027906715469598414,0.032303706803915054,2.9121480094778102e-05,0.029121480094778104
RE,25,-0.07093653657924658,0.0009663723428774354,0.02849148537892393,0.033917934780342905,3.277735409924403e-05,0.03277735409924403
PNC,25,1.142483727650927,-0.0021068738524230553,-0.1066240928609758,0.019759829095757464,-4.163146725019971e-05,-0.04163146725019971
TSLA,25,1.740249416268611,-0.015243006575909514,-0.20705941594915003,0.073616582496557,-0.0011221380510910036,-1.1221380510910035
FMC,25,0.6864532717377554,-0.002451337120713639,-0.05848909332319858,0.04191101248856875,-0.00010273802067992148,-0.10273802067992148
COF,25,1.4380552304978702,0.0005094497840220083,0.016677156393756075,0.03054776078089345,1.5562550132182143e-05,0.015562550132182143
MTD,25,1.2701860650190722,-0.005413294494567684,-0.17540542093973369,0.030861614570211027,-0.00016706300824639316,-0.16706300824639317
SPG,25,0.42426054614563835,0.004754474473606378,0.16256176406820136,0.02924718798949352,0.000139055008720814,0.139055008720814
DXC,25,0.6511929915966415,0.007884212137781024,0.2729446947233313,0.02888574971487468,0.0002277413785109197,0.22774137851091972
PFG,25,1.4507819655017888,-0.0069466729189718995,-0.20945344956314127,0.033165712636677176,-0.00023039135781160945,-0.23039135781160947
CMG,25,2.369359202017901,0.009495790312413047,0.12413379014192591,0.07649641811110595,0.0007263939460337379,0.7263939460337379
CBOE,25,1.8901462641057254,-0.00944326126943244,-0.1968011316095981,0.0479837752567673,-0.00045312332644338127,-0.45312332644338127
COST,25,0.932628206039998,0.011640779838292231,0.4149693427134304,0.02805214419497761,0.00032654883456576184,0.32654883456576184
APTV,25,1.1562290313225758,-0.002995634508166131,-0.09234695079880297,0.032438910892604825,-9.71751208772132e-05,-0.09717512087721321
BSX,25,0.7171628912642972,0.008608366657379308,0.23680720955909945,0.03635179297710924,0.0003129295626001025,0.3129295626001025
CSX,25,1.459864842540407,0.009875904411768114,0.3478372703956431,0.028392312303206876,0.0002803997623355389,0.2803997623355389
DISH,25,0.518757143416926,-0.017866811376048994,-0.2397863781007112,0.07451136931783867,-0.001331280580972948,-1.331280580972948
CFG,25,1.2282019839551874,-0.0012764437015471554,-0.06081224006389457,0.020989914204870827,-2.6792443782822536e-05,-0.026792443782822535
VFC,25,0.28921211809302066,0.015413917714596206,0.45269170034560946,0.03404948158499125,0.0005248359073757139,0.524835907375714
BAX,25,1.1249012448548887,0.00511129445506797,0.19866043098083974,0.02572879979083978,0.0001315074717064733,0.1315074717064733
DGX,25,0.9463779476537499,0.0035224476815795274,0.15442288374403043,0.022810399574057273,8.034843909554067e-05,0.08034843909554067
AAP,25,1.4453346256693063,0.01696368529348167,0.2803108671527761,0.06051740150422373,0.0010265981538969255,1.0265981538969255
DLR,25,0.46283064577177047,-0.00199654884155462,-0.05817513245600918,0.03431962691385995,-6.852081135745385e-05,-0.06852081135745386
AES,25,0.7669743122260497,0.008813266090765742,0.2701432868787351,0.032624412742567756,0.0002875276305552182,0.28752763055521824
CB,25,0.7857540984959597,-0.004837091263064771,-0.2121294558890306,0.022802544054019335,-0.00011029798661934647,-0.11029798661934648
WY,25,0.9415299625780525,-0.0035013438750640647,-0.1196691652656915,0.029258530109158208,-0.00010244417519107861,-0.10244417519107861
ATO,25,0.07308936610074489,0.0048270999760319875,0.1955540760225875,0.024684220724064235,0.00011915320126549876,0.11915320126549876
FE,25,0.11703079380295801,0.008832752448236674,0.2582043180532405,0.034208383945056264,0.00030215418704091586,0.30215418704091584
DRI,25,0.6414415238357202,0.012855135418678856,0.2433786426426716,0.052819488510143266,0.0006790016775432436,0.6790016775432436
CZR,25,1.3762691144972696,0.021177745750361802,0.3622660214662415,0.058459100482696785,0.0012380319668174053,1.2380319668174053
KIM,25,0.761857036983766,-0.005407405271441229,-0.12208846883228903,0.0442908763060113,-0.00023949871801387694,-0.23949871801387695
NFLX,25,1.376591857354238,0.02593747324035705,0.31797560653206336,0.08157063846261307,0.002115736252322866,2.115736252322866
OMC,25,0.1861029971714477,-0.0034166163628483676,-0.09831394390363928,0.034752103589670916,-0.00011873460576787115,-0.11873460576787115
